"HolderAddress","Balance","PendingBalanceUpdate"
"0xf793859ec763477ee2f282186ebb2fb2e6a71bba","99,496.462666","No"
"0x423bf3038eaee9cb3880dddc44b8aaa543aa5b4a","66,541.395425","No"
"0x05745ca3ac6ffcb336fcf57e270e67a5ecf06175","32,512.620678","No"
"0x1f88d0f55931fdc1dd95a714bdf7208ef9b4ab4f","25,561.815412","No"
"0x84197fa35061a353fdfab8ee125bee39668c056b","20,228.733423","No"
"0xab545c8eb7aebeb4f73b68503245e7050b7b8c19","13,000.389482","No"
"0x1858c0c5c0a5e18232b22ced0095b7e3dd8a7edc","10,057.33024","No"
"0x9bd26aef3805e8b88581cf090a3905c9029b2780","9,259.545976","No"
"0xb389efe19da39ded65657736e4ed298017d9238c","8,045.849503","No"
"0x1e11d959310c69628d487620a17d7f8841257bc9","6,293.719882","No"
"0x7701ea24ff3f7f2d27a490fd56be79f934a513dc","5,066.931098","No"
"0xe1cba71f8c268e866c1070c233113a0bdf2b2869","4,525.798608","No"
"0xc7943625de1318f75f4a3e1c2c1eb3de39790a4c","4,120","No"
"0x9ca627de8e06213671b6166717c8cf876c1d7808","3,937.307557","No"
"0xba4203b7eb3528f9ce4a2d838c2cd5cbdd5fbe65","3,002.853823","No"
"0x2319ad98c36dfbcd5e99a99685b317a71e14fcb6","2,914.150352","No"
"0xf70feaa153a0ffc391525c1226d6e0f00edf9974","2,792.132051","No"
"0x91d8e910cd54a978f5929bb63b0a1cee5aeac09b","2,273.485608","No"
"0xd1ecdfc524ddbb8d32ad62f4a2f5554cb92afec5","1,908.299843","No"
"0xf7aef5fc0f5d6b030c417d6a44fcc23497cd3e0a","1,880.623307","No"
"0xd563834c354a736c92708e4c727eb0da81abfdc8","1,805.249319","No"
"0x613174b2ca69a9644cf0e2e9dd0b628b760f1418","1,693.608732","No"
"0xe02c859de76a8ab1124742c416b8186978e09bb4","1,534.417307","No"
"0xf6bea11f086242ec1b61968a8557b18aeecf0086","1,336.971199","No"
"0x853eadd8cc45896d29826911026e47b919f7368d","1,332.773061","No"
"0xad8da72fb6c0bc3b27a67dbe0daf8ad1476c8d20","1,244.839092","No"
"0xda399382f2bcaf1199d72d0e76592eb3147ac8f6","1,243.793427","No"
"0x522f7bb9291abbdf7743df72c67bed55d7eb4d33","1,104.651947","No"
"0x9c63a655614a019cdd06c0491d5d8d0cd0e6b387","1,005.733024","No"
"0x9778cb519bd44a42146d6a1b5cd9c12bb22f9ee6","1,005.733024","No"
"0x3f1ef3964aaa78f182ab6387859ad6fee3cb5144","1,005.733024","No"
"0x8e69f1e96658d5820fcd56584f169b6a274c3330","1,005.720287","No"
"0xa8735830c77d9cf4bd9a3acc75db41ee045bfd14","1,005.559479","No"
"0x0dd2706553b48e41327624685f0d8a5eb95b48bb","1,001.683868","No"
"0x00bde02a876d67c22e46f4de7abb73178061d577","950.719193","No"
"0x40f61a408d6f05e74c454df0542754ed2232f48c","934.654166","No"
"0xfb484e136c85b961473d385093b1ab071d407aec","828.656788","No"
"0xc0496fe72226e6463a30cf0e0f0b5be525262b4e","681.872344","No"
"0xb4253bcd1c36fb632484a9568e60733a4caa2294","663.077942","No"
"0xf365eae95b8f43fcb76c57152ca5419a2b4aaf0b","659.858657","No"
"0x182393120c0ba4e60f8e86f45460bf9fb4e00ee3","654.501526","No"
"0xf2acbabd7283918295c2abcf23287bef1b94c5ae","600.342272","No"
"0x3fdb50f723ceb370470d314ed05c22d7359be529","496.826851","No"
"0xf4bec3e032590347fc36ad40152c7155f8361d39","488.777825","No"
"0x28aef7e702afeda80f05cb8457d49ccebe7f66f2","425.110574","No"
"0x29920a39e695b45f693139382e90ead7ad9cae18","302.742388","No"
"0x549f317c3dc64886c947e345181f70a7cf65f4b6","270.551784","No"
"0x835534ec13cd0cdcb17f36e365e4ed36827650d2","268.492638","No"
"0xfbd4c3d8be6b15b7cf428db2838bb44c0054fcd2","247.802697","No"
"0x3240b24d39c54c22b25215c1ea5fdeeea7e4e357","220.48036","No"
"0x531d5e1869c6ae245dc3d62bf3b14b6d1a53f5f8","203.54013","No"
"0x9c40f24f7b25dbf221343d6600286cd78a733b88","201.143667","No"
"0x492265ff01a025a1031ba8e7ff62dccc73c4ad05","196.972783","No"
"0x486c58f5a677fdc1ac07db4d055cfcd2fc53d1f6","175.672006","No"
"0x011add34411141ed00ef0ed4e3574fbcc5cf4645","169.92643","No"
"0x5f03d4d8736a91494f875d89aac7ecbaedac9d55","143.164357","No"
"0x47478d364c67d9fdf65f485b451c1fd81643065e","134.499769","No"
"0xe98566189ab596e7ea585e898ee0fd580a64d179","121.665885","No"
"0xeb96a35b1728c4381b8ab3cbf8959f5b30e14141","120.810502","No"
"0xa718f325b66c4904fefb0a4d07d148a524d05c9f","116.472513","No"
"0xd54373994d41ada61cf1b00f961c936f7071b53d","112.531652","No"
"0x4afed450a0db5483a7f70bfbcf0b5231a5e5899f","109.679929","No"
"0xbaba3af8524b044a4ab2956789baaddb93ca7725","102.59149","No"
"0x0b6625fc636c089be3486768b2cc933ba4511163","102.014895","No"
"0x5f24d718fcd798f43d37b20e7c50c400b82891bb","100.573303","No"
"0x166461e6d138d48ee2b40d6120ea1bddf4fb40a5","100.571487","No"
"0x8a7bb9187d769f32959b9cbc744e1fc0edd95bc0","99.76301","No"
"0xd87d8537494e703eb56d852c74726fbadff4b818","98.343783","No"
"0x1eca83d1c2a32094aa4d21e4075dbd2ca1e7e8b3","60.156925","No"
"0x65fed0512ed1d30e9f152e172f857deb5caa61c8","56.204255","No"
"0xa3dcd8e2f1bba0898f58737d7c9146ab010921af","29.656537","No"
"0xcc77f18a2a1fd216c7c225bc4096249bfa8e501c","24.140962","No"
"0x022607de18ff02f02c38012829e52e41b6956593","8.231355","No"
"0x036d6794fdde4b5c4ed216503d0717783df900aa","5.828862","No"
"0xeb20d24d42110b586b3bc433e331fe7cc32d1471","0.566442","No"
